L	M	σ	seed	order	n	η0	α	ApK	h0	γ	NpL	p	trust	tolerance	K	A	a0	N	fp	nfev
20	20000	0.01	0	1	1	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	10000	0.0	0.01	10	0.9835807563344416	30001
20	20000	0.01	0	2	1	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	5000	0.0	0.01	10	0.9830150668856636	25001
20	20000	0.01	0	1	4	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	2500	0.0	0.01	10	0.9967371727818232	22501
20	20000	0.01	0	2	4	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	1250	0.0	0.01	10	0.9578189794234284	21183
20	20000	0.01	0	1	16	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	625	0.0	0.01	10	0.9824216848204852	20626
20	20000	0.01	0	2	16	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	312	0.0	0.01	10	0.9615185296146483	20086
20	20000	0.01	0	1	64	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	156	0.0	0.01	10	0.9884094165517556	20125
20	20000	0.01	0	2	64	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	78	0.0	0.01	10	0.9794779662778562	20047
20	20000	0.01	0	1	1	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	10000	0.0	0.1	10	0.9630379724641854	30001
20	20000	0.01	0	2	1	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	5000	0.0	0.1	10	0.921808698925447	24986
20	20000	0.01	0	1	4	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	2500	0.0	0.1	10	0.9749830867305356	22501
20	20000	0.01	0	2	4	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	1250	0.0	0.1	10	0.9318830916502516	21251
20	20000	0.01	0	1	16	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	625	0.0	0.1	10	0.9835880508395609	20626
20	20000	0.01	0	2	16	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	312	0.0	0.1	10	0.9591157659092637	20281
20	20000	0.01	0	1	64	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	156	0.0	0.1	10	0.995869454735043	20125
20	20000	0.01	0	2	64	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	78	0.0	0.1	10	0.9848703371878613	20047
20	20000	0.01	0	1	1	0.6283185307179586	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	10000	0.0	0.6283185307179586	10	0.8834736642529186	30001
20	20000	0.01	0	2	1	0.6283185307179586	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.02	5000	0.0	0.6283185307179586	10	0.8560160017050422	24991
