L	M	σ	seed	order	n	η0	α	ApK	h0	γ	NpL	p	trust	tolerance	K	A	a0	N	fp	nfev	time	bytes
20	20000	0.0	0	1	1	0.01	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	10000	0.0	0.01	20	0.9794361746556972	30001	1.35e-5	1984
20	20000	0.0	0	2	1	0.01	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	5000	0.0	0.01	20	0.9802282143094567	25001	0.0002626	41184
20	20000	0.0	0	1	4	0.01	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	2500	0.0	0.01	20	0.9836456669136117	22501	4.77e-5	6496
20	20000	0.0	0	2	4	0.01	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	1250	0.0	0.01	20	0.983941121406778	21234	0.0002915	45696
20	20000	0.0	0	1	16	0.01	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	625	0.0	0.01	20	0.9865774590333241	20626	0.0001776	24544
20	20000	0.0	0	2	16	0.01	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	312	0.0	0.01	20	0.9894882743371441	20281	0.0004482	63520
20	20000	0.0	0	1	64	0.01	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	156	0.0	0.01	20	0.9885745287000979	20125	0.0006936	96576
20	20000	0.0	0	2	64	0.01	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	78	0.0	0.01	20	0.9927093486635438	20047	0.0010428	135712
20	20000	0.0	0	1	1	0.1	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	10000	0.0	0.1	20	0.8614196948390678	30001	1.62e-5	1984
20	20000	0.0	0	2	1	0.1	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	5000	0.0	0.1	20	0.9336738905379487	25001	0.0002531	41184
20	20000	0.0	0	1	4	0.1	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	2500	0.0	0.1	20	0.9103573163105386	22501	5.3e-5	6496
20	20000	0.0	0	2	4	0.1	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	1250	0.0	0.1	20	0.9535975771098097	21251	0.000295	45696
20	20000	0.0	0	1	16	0.1	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	625	0.0	0.1	20	0.9469766637986761	20626	0.0001976	24544
20	20000	0.0	0	2	16	0.1	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	312	0.0	0.1	20	0.9652185852537022	20281	0.0004379	63520
20	20000	0.0	0	1	64	0.1	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	156	0.0	0.1	20	0.9684041079136926	20125	0.0006862	96576
20	20000	0.0	0	2	64	0.1	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	78	0.0	0.1	20	0.9721068451707514	20047	0.0012253	135712
20	20000	0.0	0	1	1	0.6283185307179586	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	10000	0.0	0.6283185307179586	20	0.47365477508005516	30001	1.63e-5	1984
20	20000	0.0	0	2	1	0.6283185307179586	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	5000	0.0	0.6283185307179586	20	0.8448185137762722	24996	0.0002528	41184
20	20000	0.0	0	1	4	0.6283185307179586	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	2500	0.0	0.6283185307179586	20	0.5790296272334047	22501	4.63e-5	6496
20	20000	0.0	0	2	4	0.6283185307179586	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	1250	0.0	0.6283185307179586	20	0.8788199291458622	21217	0.0002936	45696
20	20000	0.0	0	1	16	0.6283185307179586	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	625	0.0	0.6283185307179586	20	0.7470181718620803	20626	0.0001784	24544
20	20000	0.0	0	2	16	0.6283185307179586	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	312	0.0	0.6283185307179586	20	0.909759116423649	20281	0.0004419	63520
20	20000	0.0	0	1	64	0.6283185307179586	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	156	0.0	0.6283185307179586	20	0.8696586908348164	20125	0.0006975	96576
20	20000	0.0	0	2	64	0.6283185307179586	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	78	0.0	0.6283185307179586	20	0.9357355119444803	20047	0.0009941	135712
20	20000	0.0	0	1	1	1.0	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	10000	0.0	1.0	20	0.4588541551222722	30001	1.43e-5	1984
20	20000	0.0	0	2	1	1.0	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	5000	0.0	1.0	20	0.8085023295046461	25001	0.0002543	41184
20	20000	0.0	0	1	4	1.0	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	2500	0.0	1.0	20	0.4730685748167493	22501	4.8e-5	6496
20	20000	0.0	0	2	4	1.0	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	1250	0.0	1.0	20	0.8554661010575515	21251	0.0002875	45696
20	20000	0.0	0	1	16	1.0	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	625	0.0	1.0	20	0.6624574151819327	20626	0.0001782	24544
20	20000	0.0	0	2	16	1.0	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	312	0.0	1.0	20	0.8924893854232979	20281	0.0004429	63520
20	20000	0.0	0	1	64	1.0	0.602	0.0	0.02	0.101	1.0	1.0	1.0	0.0	156	0.0	1.0	20	0.8573536758505417	19867	0.0006965	96576
20	20000	0.0	0	2	64	1.0	0.602	0.0	0.02	0.101	1.0	1.0	Inf	0.0	78	0.0	1.0	20	0.9224048578141195	20047	0.0010256	135712
20	20000	0.0	0	1	1	0.01	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	10000	0.0	0.01	20	0.9942805488376032	30001	1.39e-5	1984
20	20000	0.0	0	2	1	0.01	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	5000	0.0	0.01	20	0.9958601454754636	24996	0.0003849	41184
20	20000	0.0	0	1	4	0.01	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	2500	0.0	0.01	20	0.9913634236199095	22501	4.69e-5	6496
20	20000	0.0	0	2	4	0.01	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	1250	0.0	0.01	20	0.9967689765783546	21234	0.000326	45696
20	20000	0.0	0	1	16	0.01	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	625	0.0	0.01	20	0.991528913816464	20626	0.0001775	24544
20	20000	0.0	0	2	16	0.01	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	312	0.0	0.01	20	0.9973040008822954	20281	0.0004458	63520
20	20000	0.0	0	1	64	0.01	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	156	0.0	0.01	20	0.9925179129773868	20125	0.0006984	96576
20	20000	0.0	0	2	64	0.01	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	78	0.0	0.01	20	0.9970601982132488	20047	0.0010035	135712
20	20000	0.0	0	1	1	0.1	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	10000	0.0	0.1	20	0.9828587431937152	30001	1.65e-5	1984
20	20000	0.0	0	2	1	0.1	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	5000	0.0	0.1	20	0.9833335671255953	24996	0.0002792	41184
20	20000	0.0	0	1	4	0.1	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	2500	0.0	0.1	20	0.9821970275193616	22501	4.84e-5	6496
20	20000	0.0	0	2	4	0.1	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	1250	0.0	0.1	20	0.9854627935062461	21234	0.0003065	45696
20	20000	0.0	0	1	16	0.1	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	625	0.0	0.1	20	0.9804514264204497	20626	0.0002618	24544
20	20000	0.0	0	2	16	0.1	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	312	0.0	0.1	20	0.98646438280251	20281	0.0004721	63520
20	20000	0.0	0	1	64	0.1	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	156	0.0	0.1	20	0.9832237327237294	20125	0.0007025	96576
20	20000	0.0	0	2	64	0.1	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	78	0.0	0.1	20	0.9866822108612634	20047	0.0009903	135712
20	20000	0.0	0	1	1	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	10000	0.0	0.6283185307179586	20	0.9398764285331175	30001	1.35e-5	1984
20	20000	0.0	0	2	1	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	5000	0.0	0.6283185307179586	20	0.9636301397594087	25001	0.000275	41184
20	20000	0.0	0	1	4	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	2500	0.0	0.6283185307179586	20	0.9427827994562837	22501	4.79e-5	6496
20	20000	0.0	0	2	4	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	1250	0.0	0.6283185307179586	20	0.9644984130935308	21251	0.0003049	45696
20	20000	0.0	0	1	16	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	625	0.0	0.6283185307179586	20	0.9506744644486619	20626	0.0002111	24544
20	20000	0.0	0	2	16	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	312	0.0	0.6283185307179586	20	0.9672284326885645	20281	0.0004485	63520
20	20000	0.0	0	1	64	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	156	0.0	0.6283185307179586	20	0.9582490999587128	20125	0.0007002	96576
20	20000	0.0	0	2	64	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	78	0.0	0.6283185307179586	20	0.9671556793546124	20047	0.0009807	135712
20	20000	0.0	0	1	1	1.0	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	10000	0.0	1.0	20	0.9187722541957551	30001	1.39e-5	1984
20	20000	0.0	0	2	1	1.0	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	5000	0.0	1.0	20	0.9524686369760682	25001	0.0002583	41184
